date,symbol,score,direction,position_size,market_regime,technical_score,seasonal_score,technical_weight,seasonality_weight,seasonality_confidence,return,max_return,max_drawdown,win
2023-10-06,TXN,0.6054466213075406,LONG,0.05316339863922622,trending,0.5932439394923098,1,0.97,0.030000000000000027,0.3,-0.027070063694267517,0.004203821656050934,-0.027070063694267517,0.0
2023-10-06,AMGN,0.6018723617199013,LONG,0.05305617085159704,trending,0.5895591357937127,1,0.97,0.030000000000000027,0.3,0.06217519721837961,0.06568961004972516,0.0,1.0
2023-10-06,TMO,0.5996953047411809,LONG,0.05299085914223543,trending,0.5873147471558566,1,0.97,0.030000000000000027,0.3,-0.031491324842041896,0.0,-0.0320730117340287,0.0
2023-10-06,AXP,0.5992139834327291,LONG,0.052976419502981875,trending,0.5868185396213702,1,0.97,0.030000000000000027,0.3,0.011920707206000544,0.014666488079292779,-0.00334851326011251,1.0
2023-10-06,ABBV,0.5982679201988317,LONG,0.052948037605964955,trending,0.5858432166998264,1,0.97,0.030000000000000027,0.3,-0.0018888289260658468,0.007420399352401472,-0.0018888289260658468,0.0
2023-10-06,PFE,0.5971254246925456,LONG,0.052913762740776374,trending,0.5846653862809749,1,0.97,0.030000000000000027,0.3,-0.030787805614247,0.0021128886205855806,-0.030787805614247,0.0
2023-10-06,JPM,0.593445826830133,LONG,0.05280337480490399,trending,0.5808719864228176,1,0.97,0.030000000000000027,0.3,0.019986216402481088,0.019986216402481088,-0.002274293590627044,1.0
2023-10-06,PLD,0.5895951278986029,NEUTRAL,0.05268785383695809,trending,0.5769021937098999,1,0.97,0.030000000000000027,0.3,-0.006794601046735921,0.0,-0.032044807639335315,0.0
2023-10-06,SCHW,0.5890306543819597,NEUTRAL,0.05267091963145879,trending,0.576320262249443,1,0.97,0.030000000000000027,0.3,0.0036878881987578577,0.0036878881987578577,-0.0075698757763973884,1.0
2023-10-06,RTX,0.5818401723204255,LONG,0.052455205169612766,trending,0.5689073941447685,1,0.97,0.030000000000000027,0.3,0.049878171133725155,0.05131145191342982,0.0,1.0
2023-10-06,HON,0.5815660380491959,LONG,0.05244698114147588,trending,0.5686247814940164,1,0.97,0.030000000000000027,0.3,-0.005956893750676889,0.01483808079714074,-0.005956893750676889,0.0
2023-10-06,CAT,0.5769625765857314,NEUTRAL,0.05230887729757194,trending,0.5638789449337437,1,0.97,0.030000000000000027,0.3,-0.0071417831904975835,0.0,-0.026950834460983154,0.0
2023-10-06,ISRG,0.5769146802466198,NEUTRAL,0.0523074404073986,trending,0.5638295672645566,1,0.97,0.030000000000000027,0.3,0.07619724025974035,0.09997294372294373,-0.007271374458874382,1.0
2023-10-06,C,0.5744138350641514,NEUTRAL,0.052232415051924545,trending,0.5612513763547953,1,0.97,0.030000000000000027,0.3,-0.021197929504560006,0.0,-0.023662805028346088,0.0
2023-10-06,NKE,0.5391363958378491,SHORT,0.040939273500108384,trending,0.5248828823070609,1,0.97,0.030000000000000027,0.3,-0.02883328184533001,0.002368448151580723,-0.02883328184533001,0.0
2023-10-06,SNPS,0.5308924933574966,SHORT,0.04074141984057992,trending,0.516384013770615,1,0.97,0.030000000000000027,0.3,-0.03467438617250565,0.0,-0.04853568862781563,0.0
2023-10-06,ORCL,0.5289760857525972,SHORT,0.04069542605806234,trending,0.5144083358274198,1,0.97,0.030000000000000027,0.3,0.01555110949436153,0.01555110949436153,-0.0032739177882866446,1.0
2023-10-06,AVGO,0.5236897475603903,SHORT,0.04056855394144937,trending,0.5089585026395776,1,0.97,0.030000000000000027,0.3,-0.04486193597236349,0.0,-0.07138631900243717,0.0
2023-10-09,AMD,0.6711547542921279,LONG,0.05513464262876384,trending,0.6609842827753896,1,0.97,0.030000000000000027,0.3,-0.004767691876227028,0.019070767504907975,-0.017575021033934705,0.0
2023-10-09,INTC,0.651212288818545,LONG,0.05453636866455635,trending,0.6404250400191185,1,0.97,0.030000000000000027,0.3,0.013865779256794232,0.022739877981142548,-0.0024958402662230562,1.0
2023-10-09,VRTX,0.6284994812567806,LONG,0.05385498443770342,trending,0.6170097744915264,1,0.97,0.030000000000000027,0.3,0.05292792792792796,0.05292792792792796,0.0,1.0
2023-10-09,REGN,0.6218776020743528,LONG,0.053656328062230585,trending,0.6101830949220132,1,0.97,0.030000000000000027,0.3,0.014233848669183138,0.014233848669183138,0.0,1.0
2023-10-09,META,0.6199995984653188,LONG,0.053599987953959566,trending,0.6082470087271328,1,0.97,0.030000000000000027,0.3,0.008763663776856275,0.029714788289986114,-0.011527830129413292,1.0
2023-10-09,DE,0.6130464127635133,LONG,0.053391392382905405,trending,0.6010787760448592,1,0.97,0.030000000000000027,0.3,0.019846451141171,0.020629863686217102,-0.005953935342351211,1.0
2023-10-09,GE,0.6105091540768055,LONG,0.05331527462230417,trending,0.5984630454400056,1,0.97,0.030000000000000027,0.3,-0.010157808815526977,0.027208416470161437,-0.010157808815526977,0.0
2023-10-09,TXN,0.6054466213075406,LONG,0.05316339863922622,trending,0.5932439394923098,1,0.97,0.030000000000000027,0.3,-0.015441551812148976,0.005997958141909123,-0.02533180193976518,0.0
2023-10-09,AMGN,0.6018723617199013,LONG,0.05305617085159704,trending,0.5895591357937127,1,0.97,0.030000000000000027,0.3,0.0564925977756499,0.0564925977756499,-0.0010679826176622981,1.0
