date,symbol,rank,technical_score,seasonal_score,combined_score,technical_direction,direction,position_size,market_regime,entry_date,exit_date,entry_price,exit_price,return,adjusted_return
2023-01-10 05:00:00,AMZN,6,0.5498693633284212,0.605,0.5664085543298948,LONG,LONG,0.051992256629896844,MIXED,2023-01-10 05:00:00,2023-01-18 05:00:00,89.87,95.46,0.06220095693779892,3.2339681157352036e-05
2023-01-10 05:00:00,EOG,7,0.5919963505155696,0.5,0.5643974453608988,LONG,LONG,0.05193192336082696,MIXED,2023-01-10 05:00:00,2023-01-18 05:00:00,127.61,128.79,0.00924692422223958,4.802105600327203e-06
2023-01-10 05:00:00,FDX,8,0.5888575680731336,0.5,0.5622002976511935,LONG,LONG,0.05186600892953581,MIXED,2023-01-10 05:00:00,2023-01-18 05:00:00,188.74,187.67,-0.005669174525802806,-2.9403745657838525e-06
2023-01-10 05:00:00,NEM,9,0.5789187052057674,0.5,0.5552430936440371,NEUTRAL,NEUTRAL,0.05165729280932112,MIXED,2023-01-10 05:00:00,2023-01-18 05:00:00,53.15,51.53,-0.03047977422389459,-1.574502621845721e-05
2023-01-10 05:00:00,LMT,10,0.4246737058823488,0.5,0.44727159411764417,SHORT,SHORT,0.04000000000000001,MIXED,2023-01-10 05:00:00,2023-01-18 05:00:00,462.29,441.27,0.04546929416599978,1.8187717666399914e-05
2023-01-11 05:00:00,TSLA,1,0.6436127618291232,0.605,0.6320289332803861,NEUTRAL,NEUTRAL,0.053960867998411585,MIXED,2023-01-11 05:00:00,2023-01-19 05:00:00,123.22,127.17,0.03205648433695831,1.7297957197997558e-05
2023-01-11 05:00:00,NVDA,2,0.6414306783860719,0.605,0.6305014748702503,LONG,LONG,0.05391504424610751,MIXED,2023-01-11 05:00:00,2023-01-19 05:00:00,160.01,167.65,0.047747015811511875,2.5742824700972577e-05
2023-01-11 05:00:00,AAPL,3,0.6227106959503217,0.605,0.6173974871652251,LONG,LONG,0.05352192461495676,MIXED,2023-01-11 05:00:00,2023-01-19 05:00:00,133.49,135.27,0.013334332159712345,7.136791206429177e-06
2023-01-11 05:00:00,AMZN,4,0.6150087938721136,0.605,0.6120061557104794,LONG,LONG,0.053360184671314384,MIXED,2023-01-11 05:00:00,2023-01-19 05:00:00,95.09,93.68,-0.014828057629614014,-7.91227893433096e-06
2023-01-11 05:00:00,AMD,5,0.5999361327383177,0.605,0.6014552929168224,LONG,LONG,0.05304365878750467,MIXED,2023-01-11 05:00:00,2023-01-19 05:00:00,69.06,67.71,-0.01954821894005225,-1.0369090553595677e-05
2023-01-11 05:00:00,VLO,6,0.6225429825229017,0.5,0.5857800877660312,LONG,LONG,0.05257340263298094,MIXED,2023-01-11 05:00:00,2023-01-19 05:00:00,133.6,138.47,0.03645209580838327,1.9164107097501303e-05
2023-01-11 05:00:00,GOOGL,7,0.575881738236441,0.605,0.5846172167655086,LONG,LONG,0.05253851650296526,MIXED,2023-01-11 05:00:00,2023-01-19 05:00:00,91.52,93.05,0.016717657342657354,8.783209161881217e-06
2023-01-11 05:00:00,CCI,8,0.6087991939400307,0.5,0.5761594357580214,LONG,LONG,0.05228478307274065,MIXED,2023-01-11 05:00:00,2023-01-19 05:00:00,151.59,145.24,-0.04188930668249881,-2.1901733129619556e-05
2023-01-11 05:00:00,FDX,9,0.6001529894736957,0.5,0.570107092631587,LONG,LONG,0.05210321277894761,MIXED,2023-01-11 05:00:00,2023-01-19 05:00:00,192.2,184.23,-0.04146722164412071,-2.1605754726754028e-05
2023-01-11 05:00:00,LMT,10,0.4427169998494399,0.5,0.45990189989460795,SHORT,SHORT,0.04000000000000001,MIXED,2023-01-11 05:00:00,2023-01-19 05:00:00,463.0,439.31,0.05116630669546436,2.046652267818575e-05
2023-01-12 05:00:00,NVDA,1,0.6674067069365868,0.605,0.6486846948556106,LONG,LONG,0.05446054084566832,MIXED,2023-01-12 05:00:00,2023-01-20 05:00:00,165.11,178.39,0.08043122766640404,4.380328159593445e-05
2023-01-12 05:00:00,TSLA,2,0.6388496560875871,0.605,0.628694759261311,NEUTRAL,NEUTRAL,0.053860842777839334,MIXED,2023-01-12 05:00:00,2023-01-20 05:00:00,123.56,133.42,0.07979928779540292,4.29805689373175e-05
2023-01-12 05:00:00,AMD,3,0.6268942107600813,0.605,0.6203259475320568,LONG,LONG,0.05360977842596171,MIXED,2023-01-12 05:00:00,2023-01-20 05:00:00,70.8,70.07,-0.010310734463276893,-5.5275618998520145e-06
2023-01-12 05:00:00,AAPL,4,0.6107598219652791,0.605,0.6090318753756954,LONG,LONG,0.05327095626127086,MIXED,2023-01-12 05:00:00,2023-01-20 05:00:00,133.41,137.87,0.03343077730305081,1.7808894754911062e-05
2023-01-12 05:00:00,AMZN,5,0.6005201399755383,0.605,0.6018640979828769,LONG,LONG,0.05305592293948631,MIXED,2023-01-12 05:00:00,2023-01-20 05:00:00,95.27,97.25,0.020783037682376448,1.102663245724605e-05
2023-01-12 05:00:00,VLO,6,0.6150461514796199,0.5,0.5805323060357339,LONG,LONG,0.05241596918107202,MIXED,2023-01-12 05:00:00,2023-01-20 05:00:00,135.32,142.73,0.05475908956547441,2.870250751047469e-05
2023-01-12 05:00:00,LIN,7,0.6113699110706966,0.5,0.5779589377494876,LONG,LONG,0.05233876813248463,MIXED,2023-01-12 05:00:00,2023-01-20 05:00:00,328.91,328.62,-0.0008817001611383674,-4.6147100296195345e-07
2023-01-12 05:00:00,CCI,8,0.6090627120095748,0.5,0.5763438984067024,LONG,LONG,0.05229031695220108,MIXED,2023-01-12 05:00:00,2023-01-20 05:00:00,151.25,148.12,-0.020694214876033026,-1.0821070549447215e-05
2023-01-12 05:00:00,SO,9,0.4819423371977042,0.5,0.48735963603839294,SHORT,SHORT,0.04000000000000001,MIXED,2023-01-12 05:00:00,2023-01-20 05:00:00,70.34,67.12,0.045777651407449514,1.831106056297981e-05
2023-01-12 05:00:00,LMT,10,0.46542115782760224,0.5,0.4757948104793216,SHORT,SHORT,0.04000000000000001,MIXED,2023-01-12 05:00:00,2023-01-20 05:00:00,461.74,443.28,0.03997920907870238,1.5991683631480956e-05
