symbol,combined_score,seasonal_score,technical_score,seasonal_direction,technical_direction,direction_aligned,regime_aligned,momentum_score,trend_score,volatility_score,volume_score,price,atr_pct,date
V,0.6469996745118894,0.5,0.5859612548075317,LONG,LONG,True,True,0.44999999999999996,0.8,0.4642588386640379,0.5905474353736209,0,0,2024-02-05
DIS,0.5867308105071706,0.5,0.5839874972886674,LONG,NEUTRAL,False,True,0.4606085526315788,0.8,0.6827308026062275,0.3462938548897408,0,0,2024-02-05
META,0.7189875,0.5,0.675,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.7,0,0,2024-02-06
NVDA,0.7127947548150756,0.5,0.6673404512245833,LONG,LONG,True,True,0.44999999999999996,0.8,0.7792186250834492,0.6824836310394673,0,0,2024-02-06
DIS,0.6977991748677431,0.5,0.648793042508031,LONG,LONG,True,True,0.5157303370786513,0.8,0.6538422880792256,0.6165274188429524,0,0,2024-02-06
MSFT,0.6877738917507988,0.5,0.6363931870758179,LONG,LONG,True,True,0.5015784982935156,0.8,0.6143389797679211,0.6152592081708952,0,0,2024-02-06
AMZN,0.6807138905038713,0.5,0.6276609653727536,LONG,LONG,True,True,0.44999999999999996,0.7550344694217479,0.6953779662296482,0.635375156501498,0,0,2024-02-06
NVDA,0.7161682840360499,0.5,0.6715130291107605,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.682565145553802,0,0,2024-02-07
META,0.7050974647650713,0.5,0.6578199935251345,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6140999676256726,0,0,2024-02-07
DIS,0.6884761424446412,0.5,0.6372617717311579,LONG,LONG,True,True,0.44999999999999996,0.8,0.6350805001222969,0.6762283585334927,0,0,2024-02-07
AMZN,0.6832961678745901,0.5,0.630854876777477,LONG,LONG,True,True,0.44999999999999996,0.7912141336413631,0.696543009163464,0.5959101742618765,0,0,2024-02-07
MSFT,0.6785619833682004,0.5,0.6249993609996294,LONG,LONG,True,True,0.496350931677019,0.8,0.606859882936047,0.5736105245465708,0,0,2024-02-07
NVDA,0.7070480595888007,0.5,0.660232603078294,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6261630153914699,0,0,2024-02-08
META,0.7061659640045509,0.5,0.6591415757632045,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6207078788160225,0,0,2024-02-08
AMZN,0.6871789456500822,0.5,0.6356573230056675,LONG,LONG,True,True,0.44999999999999996,0.8,0.6929532717326651,0.6103333432956719,0,0,2024-02-08
V,0.6467987329460488,0.5,0.5857127185479887,LONG,LONG,True,True,0.46636838770985134,0.8,0.4386478651907682,0.590363145984398,0,0,2024-02-08
QQQ,0.6294119523498743,0.5,0.5642077332713351,LONG,LONG,True,True,0.5554180194805195,0.8,0.4376835133248009,0.3502281238110954,0,0,2024-02-08
DIS,0.7196229694228334,0.5,0.6757859856806845,LONG,LONG,True,True,0.44999999999999996,0.8,0.7239299284034221,0.78,0,0,2024-02-09
MSFT,0.6737172481011471,0.5,0.6190071095870713,LONG,LONG,True,True,0.49909376089229723,0.8,0.5545065975077096,0.5918883090892015,0,0,2024-02-09
TSLA,0.6720766406602877,0.5,0.6585410917666074,LONG,LONG,True,False,0.8382801042854815,0.44000000000000006,0.8,0.5752853024048141,0,0,2024-02-09
V,0.6684119186388633,0.5,0.6124451683844938,LONG,LONG,True,True,0.543553362122147,0.8,0.42997335980107554,0.6169224389381729,0,0,2024-02-09
SPY,0.6243994973137306,0.5,0.5580080362569333,LONG,LONG,True,True,0.44999999999999996,0.8,0.3463458135663914,0.5686943677182751,0,0,2024-02-09
DIS,0.7047363258874553,0.5,0.6573733158781141,LONG,LONG,True,True,0.44999999999999996,0.8,0.7361907397888577,0.6756758396017126,0,0,2024-02-12
META,0.7010193152830434,0.5,0.6527759001645557,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.5888795008227781,0,0,2024-02-12
